               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025808,            0.013533,                   0,              0.7805,             0.80435,             0.84445,             0.42696,            0.027831,            0.010099,                   0,            0.070263,           0.0033041,           0.0033041
                   1,            0.025573,            0.012798,                   0,             0.80737,             0.77778,             0.82736,             0.40754,            0.028475,            0.010473,                   0,            0.040197,           0.0065717,           0.0065717
                   2,            0.026328,            0.012529,                   0,             0.80655,             0.74155,             0.81312,             0.39537,            0.029997,            0.010649,                   0,            0.010066,           0.0097733,           0.0097733
                   3,            0.028129,            0.013336,                   0,              0.8093,             0.78502,             0.82329,             0.40061,            0.030024,             0.01014,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029641,            0.013834,                   0,             0.74378,             0.79227,             0.77895,             0.37024,            0.029602,           0.0099331,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028729,            0.013975,                   0,             0.81084,             0.76619,             0.79528,             0.38106,            0.029932,            0.010338,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027918,            0.013535,                   0,             0.79139,             0.75138,             0.78845,             0.39217,            0.029784,           0.0099971,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.029073,            0.013493,                   0,             0.78921,             0.79952,              0.8386,             0.40107,            0.029752,            0.010241,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.027967,            0.014153,                   0,             0.80533,             0.73946,             0.79504,              0.3825,            0.030319,            0.010697,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.027445,            0.013158,                   0,             0.77159,             0.76329,              0.8048,             0.39661,            0.029658,            0.010349,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.027165,            0.013534,                   0,             0.76776,             0.77053,             0.77667,             0.36917,            0.029679,            0.010286,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.026761,            0.013631,                   0,             0.75715,             0.80579,             0.79189,             0.40607,            0.029035,            0.010177,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.027377,             0.01325,                   0,               0.743,             0.80435,             0.78589,             0.37954,            0.029021,             0.01024,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027431,            0.013118,                   0,             0.78899,             0.77778,             0.79631,             0.37793,            0.030259,            0.010904,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.027009,            0.013073,                   0,             0.78367,              0.7343,             0.78071,             0.37202,            0.029574,            0.010832,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025832,              0.0132,                   0,             0.76605,             0.69807,             0.75099,             0.34727,            0.031275,            0.011494,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.026208,            0.012825,                   0,             0.80639,             0.78473,             0.81536,             0.39366,             0.02937,             0.01089,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02619,            0.013123,                   0,             0.82334,              0.7205,             0.79702,              0.3808,            0.030278,            0.011118,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.025209,            0.013056,                   0,             0.83868,             0.78019,             0.83484,             0.40296,            0.029381,            0.010472,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.025972,            0.012808,                   0,             0.74863,             0.75845,              0.7902,             0.38479,            0.029299,            0.010412,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.024088,            0.012485,                   0,             0.77417,             0.74638,             0.78394,             0.39419,            0.029192,            0.011145,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024768,            0.012768,                   0,             0.77488,             0.79227,             0.79259,             0.38728,            0.029021,            0.010535,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.024633,            0.012372,                   0,             0.78909,             0.76329,             0.79526,             0.37247,            0.029775,            0.010726,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.023989,             0.01234,                   0,             0.81722,             0.71014,             0.80367,             0.36704,            0.029661,            0.011254,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025017,            0.012935,                   0,             0.76508,             0.77878,             0.82266,             0.39641,            0.030127,            0.010671,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024923,            0.012425,                   0,             0.80353,             0.74638,             0.81914,             0.40387,            0.029927,            0.010837,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024778,             0.01261,                   0,             0.79029,             0.77053,             0.81341,             0.39027,            0.029988,             0.01085,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.023608,            0.011824,                   0,             0.81356,             0.71981,             0.80097,             0.38235,             0.02989,            0.011589,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023828,            0.012144,                   0,             0.80835,              0.7845,             0.81751,             0.39724,            0.029125,            0.011166,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023365,            0.012241,                   0,             0.74071,             0.79351,             0.80564,             0.38065,            0.028998,            0.011099,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023883,            0.012302,                   0,             0.81443,             0.76812,             0.82893,             0.40299,            0.028711,            0.010934,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.023746,             0.01223,                   0,              0.8096,             0.74155,              0.8115,             0.40318,            0.028154,            0.010737,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023421,            0.012404,                   0,             0.81927,             0.74396,              0.8159,             0.38644,            0.028646,            0.011397,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.023692,               0.012,                   0,             0.82705,             0.76812,             0.82512,             0.40614,            0.028663,            0.011643,                   0,            0.006832,            0.006832,            0.006832
