               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.029242,            0.015104,                   0,             0.77481,             0.79952,             0.81533,             0.39838,              0.0289,            0.009683,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.028825,            0.015157,                   0,             0.83416,             0.78974,             0.83185,             0.41561,            0.028886,           0.0099631,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029291,             0.01459,                   0,             0.78145,             0.80676,             0.82133,             0.40299,            0.028997,           0.0098314,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028674,            0.014061,                   0,              0.7884,             0.79952,             0.82301,             0.41155,            0.029198,            0.010053,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028568,            0.014435,                   0,             0.80243,             0.77536,             0.82904,             0.40729,            0.029139,            0.010019,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.028196,            0.014059,                   0,             0.81557,             0.79043,              0.8636,              0.4222,            0.028687,           0.0099432,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027378,            0.013811,                   0,             0.83975,             0.74682,             0.83219,             0.40162,            0.028986,            0.010071,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.027413,            0.013979,                   0,             0.81046,             0.78496,             0.83801,               0.419,            0.028355,           0.0098565,                   0,            0.006337,            0.006337,            0.006337
                  39,               0.027,            0.013889,                   0,             0.79341,             0.80704,             0.83169,             0.40729,            0.028997,           0.0096576,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028302,            0.013845,                   0,               0.774,             0.79227,              0.7956,             0.40569,            0.027852,           0.0099378,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027221,            0.013617,                   0,             0.76596,             0.75891,             0.79546,             0.39336,            0.028155,            0.010497,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02679,            0.013631,                   0,             0.77919,             0.81884,             0.82722,             0.41966,            0.028219,           0.0097084,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027146,             0.01366,                   0,             0.81345,             0.78986,             0.83614,             0.42803,            0.027976,            0.010426,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026534,            0.013232,                   0,             0.78116,             0.80187,             0.80961,             0.40746,            0.028658,            0.010133,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026782,            0.013224,                   0,             0.78535,              0.8042,             0.81304,             0.40972,            0.029039,            0.010192,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025634,            0.013626,                   0,             0.82631,             0.76994,             0.81763,             0.40483,            0.028425,             0.01008,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026065,            0.012916,                   0,             0.81343,             0.78019,              0.8217,             0.40926,            0.029345,            0.010666,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026836,            0.013573,                   0,             0.80998,             0.78261,              0.8243,             0.41984,            0.028674,            0.010813,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02636,            0.013445,                   0,             0.84568,             0.76329,             0.84043,             0.42283,            0.028196,            0.010259,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025028,            0.012293,                   0,             0.82094,             0.77522,             0.82588,             0.40687,            0.028759,            0.010703,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025659,             0.01314,                   0,             0.80427,             0.75121,             0.80286,             0.39452,            0.029638,            0.010893,                   0,             0.00505,             0.00505,             0.00505
